FIPS,Area Name,Qualifying Name,State Postal Abbreviation,Summary Level,Geographic Component,File identification,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home,"% Workers 16 Years and Over: Car, Truck, or Van",% Workers 16 Years and Over: Drove Alone,% Workers 16 Years and Over: Carpooled,% Workers 16 Years and Over: Public Transportation (Includes Taxicab),% Workers 16 Years and Over: Motorcycle,% Workers 16 Years and Over: Bicycle,% Workers 16 Years and Over: Walked,% Workers 16 Years and Over: Other Means,% Workers 16 Years and Over: Worked At Home
Geo_FIPS,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_BTTR,Geo_BTBG,Geo_AREALAND,Geo_AREAWATR,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008
1.3063E+11,Block Group 3,"Block Group 3, Census Tract 403.02, Clayton County, Georgia",ga,150,0,ACSSF,5141,,,,,13,63,,,,40302,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403023,,,2129238,46549,504,468,433,35,36,0,0,0,0,0,92.86,85.91,6.94,7.14,0,0,0,0,0
1.3063E+11,Block Group 4,"Block Group 4, Census Tract 403.02, Clayton County, Georgia",ga,150,0,ACSSF,5142,,,,,13,63,,,,40302,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403024,,,888998,2121,858,804,561,243,18,0,0,0,0,36,93.71,65.38,28.32,2.1,0,0,0,0,4.2
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 403.03, Clayton County, Georgia",ga,150,0,ACSSF,5143,,,,,13,63,,,,40303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403031,,,1660798,0,977,776,696,80,52,0,0,0,0,149,79.43,71.24,8.19,5.32,0,0,0,0,15.25
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 403.03, Clayton County, Georgia",ga,150,0,ACSSF,5144,,,,,13,63,,,,40303,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403032,,,965742,3175,129,123,99,24,6,0,0,0,0,0,95.35,76.74,18.6,4.65,0,0,0,0,0
1.3063E+11,Block Group 3,"Block Group 3, Census Tract 403.03, Clayton County, Georgia",ga,150,0,ACSSF,5145,,,,,13,63,,,,40303,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403033,,,1057592,19503,461,408,333,75,53,0,0,0,0,0,88.5,72.23,16.27,11.5,0,0,0,0,0
1.3063E+11,Block Group 4,"Block Group 4, Census Tract 403.03, Clayton County, Georgia",ga,150,0,ACSSF,5146,,,,,13,63,,,,40303,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403034,,,744666,0,409,354,289,65,55,0,0,0,0,0,86.55,70.66,15.89,13.45,0,0,0,0,0
1.3063E+11,Block Group 5,"Block Group 5, Census Tract 403.03, Clayton County, Georgia",ga,150,0,ACSSF,5147,,,,,13,63,,,,40303,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403035,,,692132,0,81,81,29,52,0,0,0,0,0,0,100,35.8,64.2,0,0,0,0,0,0
1.3063E+11,Block Group 6,"Block Group 6, Census Tract 403.03, Clayton County, Georgia",ga,150,0,ACSSF,5148,,,,,13,63,,,,40303,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403036,,,845341,3290,549,495,391,104,54,0,0,0,0,0,90.16,71.22,18.94,9.84,0,0,0,0,0
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 403.06, Clayton County, Georgia",ga,150,0,ACSSF,5149,,,,,13,63,,,,40306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403061,,,3575172,10140,729,617,465,152,49,0,0,0,63,0,84.64,63.79,20.85,6.72,0,0,0,8.64,0
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 403.06, Clayton County, Georgia",ga,150,0,ACSSF,5150,,,,,13,63,,,,40306,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403062,,,791563,813,777,595,510,85,98,0,0,5,79,0,76.58,65.64,10.94,12.61,0,0,0.64,10.17,0
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 403.07, Clayton County, Georgia",ga,150,0,ACSSF,5151,,,,,13,63,,,,40307,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403071,,,1296676,23791,915,861,673,188,10,0,11,0,14,19,94.1,73.55,20.55,1.09,0,1.2,0,1.53,2.08
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 403.07, Clayton County, Georgia",ga,150,0,ACSSF,5152,,,,,13,63,,,,40307,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403072,,,1768883,8627,1212,1077,885,192,16,0,0,0,95,24,88.86,73.02,15.84,1.32,0,0,0,7.84,1.98
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 403.08, Clayton County, Georgia",ga,150,0,ACSSF,5153,,,,,13,63,,,,40308,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403081,,,6775747,7050,789,722,645,77,26,0,0,30,0,11,91.51,81.75,9.76,3.3,0,0,3.8,0,1.39
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 403.08, Clayton County, Georgia",ga,150,0,ACSSF,5154,,,,,13,63,,,,40308,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403082,,,1910702,3348,695,608,538,70,36,0,0,0,24,27,87.48,77.41,10.07,5.18,0,0,0,3.45,3.88
1.3063E+11,Block Group 3,"Block Group 3, Census Tract 403.08, Clayton County, Georgia",ga,150,0,ACSSF,5155,,,,,13,63,,,,40308,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630403083,,,563006,0,179,147,117,30,24,8,0,0,0,0,82.12,65.36,16.76,13.41,4.47,0,0,0,0
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 404.07, Clayton County, Georgia",ga,150,0,ACSSF,5156,,,,,13,63,,,,40407,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630404071,,,2318148,0,926,909,681,228,0,2,0,9,0,6,98.16,73.54,24.62,0,0.22,0,0.97,0,0.65
1.3063E+11,Block Group 2,"Block Group 2, Census Tract 404.07, Clayton County, Georgia",ga,150,0,ACSSF,5157,,,,,13,63,,,,40407,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630404072,,,6683352,85133,926,812,730,82,46,0,0,32,0,36,87.69,78.83,8.86,4.97,0,0,3.46,0,3.89
1.3063E+11,Block Group 1,"Block Group 1, Census Tract 404.08, Clayton County, Georgia",ga,150,0,ACSSF,5158,,,,,13,63,,,,40408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000US130630404081,,,2838745,18625,1255,1085,1003,82,27,0,0,84,0,59,86.45,79.92,6.53,2.15,0,0,6.69,0,4.7
